Source,Target,weight,weight_abs,cor_sign,Source1,Target1,Source1_Target1,Association
X.1..Trachytes,X.17..Cornigamasus,1,1,1,pred ,pred ,pred _pred ,in_pred 
X.1..Trachytes,X.54..Nippobodes,1,1,1,pred ,decomp,pred _decomp,pred_decomp
X.1..Trachytes,X.88..Pergalumna,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.2..Uropoda,X.11..Prozercon,0.948683298,0.948683298,1,pred ,pred ,pred _pred ,in_pred 
X.2..Uropoda,X.25..Glyptholaspis,0.948683298,0.948683298,1,pred ,pred ,pred _pred ,in_pred 
X.2..Uropoda,X.26..Macrocheles,-0.9258201,0.9258201,-1,pred ,pred ,pred _pred ,in_pred 
X.2..Uropoda,X.68..Medioppia,-0.885364878,0.885364878,-1,pred ,pred ,pred _pred ,in_pred 
X.3..Discourella,X.21..Dendrolaelaps,-0.835572749,0.835572749,-1,pred ,pred ,pred _pred ,in_pred 
X.3..Discourella,X.31..Trhypochthonius,-0.823193209,0.823193209,-1,pred ,fungi,pred _fungi,pred_fungi
X.3..Discourella,X.72..Protokalumma,0.876356092,0.876356092,1,pred ,fungi,pred _fungi,pred_fungi
X.4..Nenteria,X.11..Prozercon,-0.878310066,0.878310066,-1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.25..Glyptholaspis,-0.878310066,0.878310066,-1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.40..Cosmolaelaps,0.828571429,0.828571429,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.17..Phthiracarus,-0.828078671,0.828078671,-1,pred ,fungi,pred _fungi,pred_fungi
X.4..Nenteria,X.36..Hermannia,-0.845154255,0.845154255,-1,pred ,decomp,pred _decomp,pred_decomp
X.4..Nenteria,X.45..Eremaeus,0.845154255,0.845154255,1,pred ,fungi,pred _fungi,pred_fungi
X.4..Nenteria,X.57..Allosuctobelba,0.845154255,0.845154255,1,pred ,decomp,pred _decomp,pred_decomp
X.4..Nenteria,X.61..Oppiella,0.828571429,0.828571429,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.68..Medioppia,0.880406274,0.880406274,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.86..Ceratozetes,-0.845154255,0.845154255,-1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.6..Uroobovella,0.971008312,0.971008312,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.19..Veigaia,-0.889898417,0.889898417,-1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.33..Asca,-0.835572749,0.835572749,-1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.10..Eulohmannia,-0.835572749,0.835572749,-1,pred ,fungi,pred _fungi,pred_fungi
X.5..Dinychus,X.12..Epilohmannia,-0.912159324,0.912159324,-1,pred ,decomp,pred _decomp,pred_decomp
X.5..Dinychus,X.14..Rhysotritia,-0.875427559,0.875427559,-1,pred ,fungi,pred _fungi,pred_fungi
X.5..Dinychus,X.32..Malaconothrus,-0.835572749,0.835572749,-1,pred ,fungi,pred _fungi,pred_fungi
X.6..Uroobovella,X.37..Cheiroseius,0.81167945,0.81167945,1,pred ,pred ,pred _pred ,in_pred 
X.6..Uroobovella,X.12..Epilohmannia,-0.942857143,0.942857143,-1,pred ,decomp,pred _decomp,pred_decomp
X.6..Uroobovella,X.58..Suctobelbella,-0.81167945,0.81167945,-1,pred ,fungi,pred _fungi,pred_fungi
X.8..Epicrius,X.5..Cosmochthonius,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.8..Epicrius,X.65..Multioppia,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.10..Parazercon,X.52..Gustavia,0.845154255,0.845154255,1,pred ,decomp,pred _decomp,pred_decomp
X.11..Prozercon,X.25..Glyptholaspis,1,1,1,pred ,pred ,pred _pred ,in_pred 
X.11..Prozercon,X.26..Macrocheles,-0.878310066,0.878310066,-1,pred ,pred ,pred _pred ,in_pred 
X.11..Prozercon,X.68..Medioppia,-0.933256525,0.933256525,-1,pred ,pred ,pred _pred ,in_pred 
X.12..Xenozercon,X.36..Podocinum,1,1,1,pred ,pred ,pred _pred ,in_pred 
X.12..Xenozercon,X.39..Proctolaelaps,1,1,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.40..Cosmolaelaps,0.81167945,0.81167945,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.41..Geolaelaps,0.81167945,0.81167945,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.43..Ololaelaps,0.940403259,0.940403259,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.23..Heminothrus,0.845402793,0.845402793,1,pred ,decomp,pred _decomp,pred_decomp
X.16..Vulgarogamasus,X.29..Afronothrus,0.970588235,0.970588235,1,pred ,decomp,pred _decomp,pred_decomp
X.16..Vulgarogamasus,X.34..Nanhermannia,0.897058824,0.897058824,1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.35..Cyrthermannia,-0.892369615,0.892369615,-1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.40..Epidamaeus,0.867647059,0.867647059,1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.41..Eremulus,0.939336437,0.939336437,1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.43..Fosseremus,0.891132789,0.891132789,1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.62..Ramusella,0.940403259,0.940403259,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.63..Arcoppia,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred 
X.16..Vulgarogamasus,X.69..Tectocepheus,0.897058824,0.897058824,1,pred ,decomp,pred _decomp,pred_decomp
X.16..Vulgarogamasus,X.74..Scheloribates,0.985610761,0.985610761,1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.81..Xylobates,-0.927633657,0.927633657,-1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.84..Setoxylobates,-0.83165549,0.83165549,-1,pred ,fungi,pred _fungi,pred_fungi
X.16..Vulgarogamasus,X.85..Vilhenabates,-0.83165549,0.83165549,-1,pred ,fungi,pred _fungi,pred_fungi
X.17..Cornigamasus,X.54..Nippobodes,1,1,1,pred ,decomp,pred _decomp,pred_decomp
X.17..Cornigamasus,X.88..Pergalumna,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.18..Parasitus,X.22..Rhodacarus,-0.823529412,0.823529412,-1,pred ,pred ,pred _pred ,in_pred 
X.18..Parasitus,X.29..Parholaspulus,0.81167945,0.81167945,1,pred ,pred ,pred _pred ,in_pred 
