Source,Target,weight,weight_abs,cor_sign,Source1,Target1,Source1_Target1,Association
X.1..Trachytes,X.14..Zercon,0.92,0.92,1,pred ,pred ,pred _pred ,in_pred
X.1..Trachytes,X.15..Neogamasus,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.1..Trachytes,X.27..Gamasholaspis,1,1,1,pred ,pred ,pred _pred ,in_pred
X.1..Trachytes,X.40..Epidamaeus,0.821583836,0.821583836,1,pred ,fungi,pred _fungi,pred_fungi
X.1..Trachytes,X.70..Scutovertex,1,1,1,pred ,decomp,pred _decomp,pred_decomp
X.1..Trachytes,X.75..Perscheloribates,0.845154255,0.845154255,1,pred ,fungi,pred _fungi,pred_fungi
X.2..Uropoda,X.3..Discourella,0.821583836,0.821583836,1,pred ,pred ,pred _pred ,in_pred
X.2..Uropoda,X.19..Veigaia,0.8610584,0.8610584,1,pred ,pred ,pred _pred ,in_pred
X.2..Uropoda,X.74..Scheloribates,0.83323809,0.83323809,1,pred ,fungi,pred _fungi,pred_fungi
X.3..Discourella,X.19..Veigaia,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.3..Discourella,X.29..Afronothrus,0.876356092,0.876356092,1,pred ,decomp,pred _decomp,pred_decomp
X.3..Discourella,X.57..Allosuctobelba,0.821583836,0.821583836,1,pred ,decomp,pred _decomp,pred_decomp
X.3..Discourella,X.69..Tectocepheus,0.821583836,0.821583836,1,pred ,decomp,pred _decomp,pred_decomp
X.4..Nenteria,X.31..Pachyseius,0.867647059,0.867647059,1,pred ,pred ,pred _pred ,in_pred
X.4..Nenteria,X.36..Podocinum,0.925476223,0.925476223,1,pred ,pred ,pred _pred ,in_pred
X.4..Nenteria,X.24..Nothrus,0.81167945,0.81167945,1,pred ,fungi,pred _fungi,pred_fungi
X.4..Nenteria,X.68..Medioppia,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.5..Dinychus,X.24..Gamasiphis,1,1,1,pred ,pred ,pred _pred ,in_pred
X.5..Dinychus,X.44..Alloparasitus,1,1,1,pred ,pred ,pred _pred ,in_pred
X.5..Dinychus,X.44..Ctenobelba,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.5..Dinychus,X.67..Lauroppia,1,1,1,pred ,pred ,pred _pred ,in_pred
X.6..Uroobovella,X.60..Oppia,-0.844162289,0.844162289,-1,pred ,pred ,pred _pred ,in_pred
X.6..Uroobovella,X.74..Scheloribates,-0.8196886,0.8196886,-1,pred ,fungi,pred _fungi,pred_fungi
X.6..Uroobovella,X.85..Vilhenabates,0.8932596,0.8932596,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.18..Parasitus,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.21..Dendrolaelaps,0.89802651,0.89802651,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.22..Rhodacarus,0.845154255,0.845154255,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.26..Macrocheles,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.29..Parholaspulus,0.845154255,0.845154255,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.3..Hypochthonius,0.845154255,0.845154255,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.12..Epilohmannia,0.845154255,0.845154255,1,pred ,decomp,pred _decomp,pred_decomp
X.7..Oplitis,X.25..Crotonia,0.876356092,0.876356092,1,pred ,decomp,pred _decomp,pred_decomp
X.7..Oplitis,X.40..Epidamaeus,0.821583836,0.821583836,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.41..Eremulus,0.826184389,0.826184389,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.54..Nippobodes,0.979795897,0.979795897,1,pred ,decomp,pred _decomp,pred_decomp
X.7..Oplitis,X.60..Oppia,-0.835572749,0.835572749,-1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.61..Oppiella,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred
X.7..Oplitis,X.72..Protokalumma,0.876356092,0.876356092,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.77..Rostrozetes,0.857492926,0.857492926,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.80..Peloribates,0.845154255,0.845154255,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.84..Setoxylobates,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.87..Galumna,0.845154255,0.845154255,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.89..Trichogalumna,0.845154255,0.845154255,1,pred ,fungi,pred _fungi,pred_fungi
X.7..Oplitis,X.91..Galumnella,0.876356092,0.876356092,1,pred ,fungi,pred _fungi,pred_fungi
X.9..Metazercon,X.10..Parazercon,1,1,1,pred ,pred ,pred _pred ,in_pred
X.9..Metazercon,X.13..Syskenozercon,1,1,1,pred ,pred ,pred _pred ,in_pred
X.9..Metazercon,X.32..Amblyseius,1,1,1,pred ,pred ,pred _pred ,in_pred
X.9..Metazercon,X.42..Laelaspis,1,1,1,pred ,pred ,pred _pred ,in_pred
X.9..Metazercon,X.16..Synichotritia,1,1,1,pred ,fungi,pred _fungi,pred_fungi
X.9..Metazercon,X.19..Hoplophthiracarus,1,1,1,pred ,fungi,pred _fungi,pred_fungi
