id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.1..Trachytes,6,5.444231017,0,0.006780054,0.132992254,7,pred 
X.2..Uropoda,3,2.515880326,30,0.005116978,0.002762357,2,pred 
X.3..Discourella,5,4.198600526,324,0.006414353,0.05419631,2,pred 
X.4..Nenteria,4,3.462295657,52,0.005404183,0.002432664,4,pred 
X.5..Dinychus,4,4,0,0.25,1.16E-16,8,pred 
X.6..Uroobovella,3,-0.770591289,52,0.00540884,0.008528385,1,pred 
X.7..Oplitis,20,15.66513765,85.5,0.00876688,0.813784285,1,pred 
X.9..Metazercon,10,10,0,0.1,1.74E-16,5,pred 
X.10..Parazercon,10,10,0,0.1,1.16E-16,5,pred 
X.13..Syskenozercon,10,10,0,0.1,2.90E-16,5,pred 
X.14..Zercon,5,4.450308509,18,0.006095954,0.037629625,7,pred 
X.15..Neogamasus,20,10.64134128,67,0.008576499,0.694339623,6,pred 
X.16..Vulgarogamasus,1,0.821583836,0,0.390142249,2.18E-17,3,pred 
X.18..Parasitus,13,11.27996813,118,0.008080824,0.449507879,1,pred 
X.19..Veigaia,3,2.595265333,0,0.005046401,0.002986714,2,pred 
X.21..Dendrolaelaps,21,15.99904142,0,0.008411262,0.97603759,6,pred 
X.22..Rhodacarus,24,19.81825209,52.86666667,0.00929278,0.974071405,6,pred 
X.24..Gamasiphis,4,4,0,0.25,2.90E-17,8,pred 
X.26..Macrocheles,13,11.21998153,80,0.008137484,0.410327998,1,pred 
X.27..Gamasholaspis,6,5.444231017,0,0.006780054,0.132992254,7,pred 
X.29..Parholaspulus,24,19.81825209,52.86666667,0.00929278,0.974071405,6,pred 
X.30..Pachylaelaps,7,4.533400922,7,0.007082724,0.234106989,6,pred 
X.31..Pachyseius,5,4.31251661,20,0.004648016,0.000384747,4,pred 
X.32..Amblyseius,10,10,0,0.1,2.90E-16,5,pred 
X.34..Ameroseius,2,1.741583836,1,0.574189987,0,3,pred 
X.36..Podocinum,4,3.563586129,21,0.005167591,0.001079481,4,pred 
X.37..Cheiroseius,2,0.012605749,3,0.006004544,0.045562268,1,pred 
X.38..Lasioseius,5,4.239941726,114,0.006227175,0.037878052,1,pred 
X.39..Proctolaelaps,2,1.722505862,58,0.003371525,7.53E-06,2,pred 
X.40..Cosmolaelaps,10,6.702661125,197,0.007974332,0.314965424,6,pred 
X.41..Geolaelaps,3,0.878383276,99,0.005663235,0.012080073,4,pred 
X.42..Laelaspis,10,10,0,0.1,2.32E-16,5,pred 
X.43..Ololaelaps,5,0.974820209,0,0.007112405,0.140570761,6,pred 
X.44..Alloparasitus,4,4,0,0.25,5.80E-17,8,pred 
X.1..Archoplophora,2,1.669172376,0,0.004834082,0.001883467,1,fungi
X.2..Eohypochthonius,5,0.974820209,0,0.007112405,0.140570761,6,pred 
X.3..Hypochthonius,24,18.10852953,112.5333333,0.00931765,1,6,pred 
X.12..Epilohmannia,23,13.12106396,46.33333333,0.00900055,0.925278028,6,decomp
X.14..Rhysotritia,4,3.711993048,0,0.006044015,0.06259233,1,fungi
X.16..Synichotritia,10,10,0,0.1,1.74E-16,5,fungi
X.19..Hoplophthiracarus,10,10,0,0.1,2.90E-16,5,fungi
X.23..Heminothrus,1,0.92,0,0.375716138,7.26E-18,3,decomp
X.24..Nothrus,5,4.311683896,141,0.006524381,0.047342466,1,fungi
X.25..Crotonia,21,15.81618767,0,0.008431898,0.969624526,6,decomp
X.26..Holonothrus,10,10,0,0.1,2.90E-16,5,decomp
X.29..Afronothrus,3,2.6030701,168,0.004984703,0.002918532,2,decomp
X.31..Trhypochthonius,1,1,0,1,7.26E-18,9,fungi
X.32..Malaconothrus,1,1,0,1,1.45E-17,9,fungi
X.33..Trimalaconothrus,10,10,0,0.1,2.32E-16,5,pred 
X.34..Nanhermannia,8,-6.672986887,157,0.007298677,0.246116552,6,fungi
X.35..Cyrthermannia,10,10,0,0.1,1.74E-16,5,fungi
X.39..Damaeus,10,10,0,0.1,2.32E-16,5,fungi
X.40..Epidamaeus,24,18.0044137,106,0.008983176,0.951356843,6,fungi
X.41..Eremulus,19,13.55740728,0,0.008411622,0.872164885,6,fungi
X.42..Eremobelba,1,0.828078671,0,0.002901661,3.62E-07,2,fungi
X.44..Ctenobelba,4,4,0,0.25,8.71E-17,8,fungi
X.47..Ceratoppia,2,1.70264718,0,0.004789133,0.001953635,1,decomp
X.48..Austroceratoppia,0,0,0,NA,0,10,decomp
X.54..Nippobodes,21,16.38739488,118,0.008682132,0.800921073,1,decomp
X.57..Allosuctobelba,15,-6.223882232,182.5,0.008169219,0.563235993,6,decomp
X.58..Suctobelbella,2,1.679076762,0,0.004543422,0.000635584,4,fungi
X.60..Oppia,6,-3.502453975,91,0.006645054,0.124027918,1,pred 
X.61..Oppiella,21,17.31801607,70,0.008826547,0.903184404,6,pred 
X.62..Ramusella,2,1.744427191,114,0.004056569,0.000144512,2,pred 
X.66..Lasiobelba,4,3.476728328,18,0.004734271,0.000708031,4,pred 
X.67..Lauroppia,4,4,0,0.25,5.80E-17,8,pred 
X.68..Medioppia,3,2.560140106,0,0.005224857,0.002464862,4,pred 
X.69..Tectocepheus,15,-6.223882232,182.5,0.008169219,0.563235993,6,decomp
