Source,Target,weight,weight_abs,cor_sign,Source1,Target1,Source1_Target1,Association
X.1..Trachytes,X.41..Geolaelaps,0.823193209,0.823193209,1,pred ,pred ,pred _pred ,in_pred 
X.1..Trachytes,X.8..Papillacarus,0.857492926,0.857492926,1,pred ,fungi,pred _fungi,pred_fungi
X.2..Uropoda,X.54..Nippobodes,1,1,1,pred ,decomp,pred _decomp,pred_decomp
X.2..Uropoda,X.67..Lauroppia,1,1,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.35..Polyaspinus,0.857492926,0.857492926,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.44..Alloparasitus,0.8932596,0.8932596,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.42..Eremobelba,0.939336437,0.939336437,1,pred ,fungi,pred _fungi,pred_fungi
X.4..Nenteria,X.60..Oppia,0.850841043,0.850841043,1,pred ,pred ,pred _pred ,in_pred 
X.4..Nenteria,X.70..Scutovertex,-0.823193209,0.823193209,-1,pred ,decomp,pred _decomp,pred_decomp
X.4..Nenteria,X.77..Rostrozetes,-0.823193209,0.823193209,-1,pred ,fungi,pred _fungi,pred_fungi
X.5..Dinychus,X.7..Oplitis,0.852802865,0.852802865,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.30..Pachylaelaps,-0.84016805,0.84016805,-1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.31..Pachyseius,0.84016805,0.84016805,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.38..Lasioseius,0.828078671,0.828078671,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.43..Ololaelaps,0.87988269,0.87988269,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.44..Alloparasitus,0.87988269,0.87988269,1,pred ,pred ,pred _pred ,in_pred 
X.5..Dinychus,X.3..Hypochthonius,0.979795897,0.979795897,1,pred ,pred ,pred _pred ,in_pred 
