id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.1..Trachytes,2,1.680686134,594,0.003690845,0.000879947,2,pred 
X.2..Uropoda,2,2,0,0.5,4.53E-17,10,pred 
X.4..Nenteria,6,1.894543589,86.5,0.004311735,0.079289423,6,pred 
X.5..Dinychus,18,14.37651192,155,0.005296874,0.471593987,6,pred 
X.6..Uroobovella,1,0.823193209,0,0.002915802,0.000293875,3,pred 
X.7..Oplitis,7,6.18446817,0,0.004164573,0.135145699,6,pred 
X.8..Epicrius,4,4,0,0.25,1.25E-16,8,pred 
X.15..Neogamasus,6,3.36447968,131,0.005088257,0.207440001,1,pred 
X.16..Vulgarogamasus,3,3,0,0.333333333,3.67E-17,9,pred 
X.18..Parasitus,3,2.572478777,0,0.002054496,5.07E-08,7,pred 
X.19..Veigaia,5,4.503180765,5,0.002336352,4.75E-07,7,pred 
X.21..Dendrolaelaps,10,10,0,0.1,0,5,pred 
X.22..Rhodacarus,13,-11.49881789,104,0.005229664,0.455831141,1,pred 
X.24..Gamasiphis,4,4,0,0.25,1.01E-16,8,pred 
X.25..Glyptholaspis,10,10,0,0.1,0,5,pred 
X.26..Macrocheles,2,1.759258515,20,0.003596683,0.002778968,2,pred 
X.27..Gamasholaspis,10,10,0,0.1,0,5,pred 
X.28..Krantzholaspis,17,12.10554123,0.5,0.00578074,0.754991365,1,pred 
X.29..Parholaspulus,15,11.66102575,40,0.00546918,0.607508039,1,pred 
X.30..Pachylaelaps,21,1.346534942,222.5,0.006214489,0.814646223,1,pred 
X.31..Pachyseius,10,8.957853039,0,0.004230371,0.207975787,6,pred 
X.33..Asca,11,9.742594877,68,0.005677694,0.383854209,1,pred 
X.34..Ameroseius,23,15.26325509,133.75,0.006148817,0.919815093,1,pred 
X.35..Polyaspinus,2,1.679076762,0,0.003591922,0.01437654,6,pred 
X.36..Podocinum,1,0.853310335,0,1.171906584,1.02E-17,4,pred 
