id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.3..Discourella,1,1,0,1,0,10,pred 
X.4..Nenteria,8,7.026350846,7,0.011301306,0.229975143,3,pred 
X.6..Uroobovella,7,6.045324857,10,0.010010497,0.301796919,5,pred 
X.7..Oplitis,6,6,0,0.166666667,0,4,pred 
X.8..Epicrius,0,0,0,NA,2.72E-19,11,pred 
X.12..Xenozercon,2,2,0,0.5,1.01E-17,7,pred 
X.14..Zercon,10,8.697017515,63,0.011573329,0.245493033,3,pred 
X.15..Neogamasus,11,2.64801818,47,0.012870041,0.521116329,5,pred 
X.16..Vulgarogamasus,4,3.350116387,43,0.009025815,0.104893645,1,pred 
X.18..Parasitus,9,7.858508387,4,0.011382708,0.247647473,3,pred 
X.19..Veigaia,4,4,0,0.25,8.16E-18,6,pred 
X.21..Dendrolaelaps,6,6,0,0.166666667,0,4,pred 
X.22..Rhodacarus,15,2.617189536,107,0.014355335,0.517768672,3,pred 
X.26..Macrocheles,5,2.545935471,0,0.010173238,0.144305581,3,pred 
X.29..Parholaspulus,0,0,0,NA,2.72E-19,12,pred 
X.30..Pachylaelaps,4,3.429155871,0,0.008821952,0.063386599,3,pred 
X.31..Pachyseius,2,-1.70493905,43,0.008813175,0.04162267,2,pred 
X.34..Ameroseius,6,6,0,0.166666667,0,4,pred 
X.37..Cheiroseius,1,1,0,1,0,9,pred 
X.38..Lasioseius,14,3.490235599,75.5,0.014323441,0.608787559,3,pred 
X.41..Geolaelaps,14,-1.779522269,67,0.013757588,0.879552272,5,pred 
X.43..Ololaelaps,15,-6.224078779,32.33333333,0.013247957,0.625627188,5,pred 
X.1..Archoplophora,8,1.73396761,36.5,0.012822803,0.362460641,5,fungi
X.2..Eohypochthonius,12,5.754931746,1,0.012289971,0.690474719,5,pred 
X.3..Hypochthonius,13,0.849423431,32,0.012765503,0.732506214,5,pred 
X.4..Hypochthoniella,10,7.311864903,0.5,0.011476375,0.590008753,5,decomp
X.7..Mixacarus,2,1.647768226,14,0.00746813,0.008526789,1,fungi
X.8..Papillacarus,4,4,0,0.25,0,6,fungi
X.12..Epilohmannia,10,5.501466513,40.5,0.012184939,0.513883538,5,decomp
X.14..Rhysotritia,14,6.944877314,114.5,0.014773216,0.57875084,3,fungi
X.22..Platynothrus,1,1,0,1,5.18E-18,8,decomp
X.23..Heminothrus,2,1.767308337,12,0.007795911,0.005751894,1,decomp
X.24..Nothrus,3,2.564482848,39,0.01043427,0.057691042,1,fungi
X.28..Allonothrus,8,6.754770116,36,0.01118288,0.172547344,3,fungi
X.29..Afronothrus,6,6,0,0.166666667,0,4,decomp
X.31..Trhypochthonius,1,1,0,1,5.32E-18,8,fungi
X.34..Nanhermannia,7,1.056069027,2,0.010746718,0.226526147,3,fungi
X.40..Epidamaeus,6,6,0,0.166666667,0,4,fungi
X.41..Eremulus,6,5.32488459,3,0.011163815,0.339705247,5,fungi
X.42..Eremobelba,0,0,0,NA,2.72E-19,13,fungi
X.44..Ctenobelba,4,4,0,0.25,8.30E-19,6,fungi
X.46..Liacarus,2,2,0,0.5,9.56E-18,7,decomp
X.47..Ceratoppia,2,1.673232926,0,0.008264014,0.037288637,3,decomp
X.48..Austroceratoppia,17,-0.799350793,73.83333333,0.014826415,1,5,decomp
X.49..Pyroppia,6,6,0,0.166666667,0,4,decomp
X.50..Cultroribula,13,-0.823174544,37,0.01351511,0.845504314,5,fungi
X.52..Gustavia,0,0,0,NA,2.72E-19,14,decomp
X.54..Nippobodes,4,4,0,0.25,1.76E-17,6,decomp
X.57..Allosuctobelba,7,1.056069027,2,0.010746718,0.226526147,3,decomp
X.58..Suctobelbella,10,7.311864903,0.5,0.011476375,0.590008753,5,fungi
X.60..Oppia,1,-0.8932596,0,0.00658429,0.00348643,2,pred 
X.61..Oppiella,0,0,0,NA,2.72E-19,15,pred 
X.62..Ramusella,4,4,0,0.25,0,6,pred 
X.66..Lasiobelba,6,5.32488459,3,0.011163815,0.339705247,5,pred 
X.67..Lauroppia,6,5.276538886,1,0.010541621,0.12112137,3,pred 
X.68..Medioppia,10,5.501466513,40.5,0.012184939,0.513883538,5,pred 
X.69..Tectocepheus,10,7.005286349,32,0.011999645,0.505512955,5,decomp
X.70..Scutovertex,6,6,0,0.166666667,0,4,decomp
X.71..Neoribates,9,1.061646009,1.75,0.012244828,0.5457976,5,fungi
X.74..Scheloribates,13,1.001981486,27,0.013737922,0.824394557,5,fungi
X.75..Perscheloribates,11,0.894216193,120,0.012470751,0.543017998,5,fungi
X.76..Mochlozetes,2,2,0,0.5,0,7,decomp
X.77..Rostrozetes,17,-0.675602662,66.16666667,0.014226788,0.98633284,5,fungi
X.80..Peloribates,7,2.662198224,7,0.011331417,0.414967262,5,fungi
X.81..Xylobates,12,6.992609896,62.5,0.013203628,0.477061975,3,fungi
X.84..Setoxylobates,16,5.650739979,21.08333333,0.013449356,0.910116221,5,fungi
X.85..Vilhenabates,16,7.166806403,29.75,0.014227347,0.914978968,5,fungi
X.86..Ceratozetes,16,5.650739979,21.08333333,0.013449356,0.910116221,5,pred 
X.87..Galumna,6,1.964907523,0,0.010482197,0.185320927,3,fungi
X.88..Pergalumna,1,1,0,1,1.84E-18,9,fungi
X.89..Trichogalumna,0,0,0,NA,2.72E-19,16,fungi
X.90..Porogalumnella,1,1,0,1,0,10,fungi
