Forest,Site,(4) Hypochthoniella,(12) Epilohmannia,(22) Platynothrus,(23) Heminothrus,(25) Crotonia,(26) Holonothrus,(29) Afronothrus,(36) Hermannia,(37) Hermanniella,(38) Plasmobates,(46) Liacarus,(47) Ceratoppia,(48) Austroceratoppia,(49) Pyroppia,(52) Gustavia,(53) Carabodes,(54) Nippobodes,(57) Allosuctobelba,(69) Tectocepheus,(70) Scutovertex,(76) Mochlozetes
RBS,1,4,4,0,0,0,0,0,0,0,0,0,10,7,0,10,0,0,0,8,0,0
RBS,2,1,31,6,15,0,0,0,0,0,0,0,5,12,0,2,0,4,2,8,0,0
RBS,3,0,0,0,0,0,0,0,0,0,0,0,8,5,0,4,0,0,1,0,0,0
RBS,4,0,0,1,0,0,0,0,0,0,0,6,1,0,0,7,0,0,0,128,0,6
RBS,5,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0,0,98,0,0
RBS,6,0,0,0,24,0,0,3,0,0,0,0,26,0,1,8,0,0,0,112,1,0
DBF,7,0,31,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,1,3,0,0
DBF,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
DBF,9,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,8,0,0
DBF,10,0,77,0,0,7,2,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
DBF,11,0,69,0,4,7,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
DBF,12,0,60,0,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EBF,13,0,102,11,7,9,0,0,0,0,0,1,3,0,0,0,0,3,0,4,0,0
EBF,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
EBF,15,0,67,2,5,8,8,4,0,0,0,0,4,0,0,0,3,0,0,11,0,0
EBF,16,0,6,0,0,0,0,0,3,1,2,0,5,0,1,0,1,0,0,19,6,1
EBF,17,0,1,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,21,1,0
EBF,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,43,0,0
CBF,19,0,34,0,10,0,0,13,0,0,0,0,55,8,0,8,0,0,0,12,0,0
CBF,20,0,1,3,4,0,0,13,0,2,0,0,46,0,0,7,0,0,0,14,0,0
CBF,21,0,59,1,4,0,0,32,0,0,0,0,0,0,0,0,0,0,14,24,2,0
CBF,22,2,36,0,0,0,0,1,0,0,0,1,4,6,0,6,0,0,4,0,28,0
CBF,23,0,26,2,0,0,0,0,3,0,0,0,11,0,0,2,0,0,0,0,2,0
CBF,24,0,61,0,0,0,0,9,6,1,0,0,2,0,0,11,0,2,0,3,12,0
