Forest,Site,(1) Archoplophora,(5) Cosmochthonius,(6) Meristacarus,(7) Mixacarus,(8) Papillacarus,(9) Lohmannia,(10) Eulohmannia,(11) Perlohmannia,(13) Microtritia,(14) Rhysotritia,(15) Acrotritia,(16) Synichotritia,(17) Phthiracarus,(18) Steganacarus,(19) Hoplophthiracarus,(20) Hoplophorella,(24) Nothrus,(28) Allonothrus,(31) Trhypochthonius,(32) Malaconothrus,(34) Nanhermannia,(35) Cyrthermannia,(39) Damaeus,(40) Epidamaeus,(41) Eremulus,(42) Eremobelba,(43) Fosseremus,(44) Ctenobelba,(45) Eremaeus,(50) Cultroribula,(51) Astegistes,(55) Dolicheremaeus,(56) Otocepheus,(58) Suctobelbella,(59) Parisuctobelba,(65) Multioppia,(71) Neoribates,(72) Protokalumma,(74) Scheloribates,(75) Perscheloribates,(77) Rostrozetes,(78) Incabates,(79) Paraxylobates,(80) Peloribates,(81) Xylobates,(82) Protoribates,(83) Perxylobates,(84) Setoxylobates,(85) Vilhenabates,(87) Galumna,(88) Pergalumna,(89) Trichogalumna,(90) Porogalumnella,(91) Galumnella
RBS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,126,113,13,0,0,0,11,0,0,0,0,0,2,9,0,0
RBS,2,1,0,0,2,6,0,0,0,0,4,0,0,0,0,0,0,83,9,6,0,8,0,0,0,0,8,0,1,0,1,0,0,0,1,0,0,0,0,113,97,10,0,0,8,23,0,0,0,0,3,0,14,0,0
RBS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,193,137,1,0,0,2,8,0,0,0,0,7,0,25,0,0
RBS,4,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,34,3,3,0,0,0,0,0,26,5,0,0,0,171,0,0,0,0,0,0,19,0,288,252,0,0,0,25,48,0,0,42,108,0,0,1,0,0
RBS,5,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,43,34,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,13,0,212,126,0,0,0,22,73,0,0,21,55,0,0,12,2,0
RBS,6,2,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,92,24,0,0,0,0,0,6,4,12,0,0,0,202,0,0,0,0,0,0,9,0,312,183,0,0,0,15,109,0,0,33,133,0,0,18,0,0
DBF,7,14,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,137,56,0,0,0,16,39,0,0,0,3,6,0,9,0,0
DBF,8,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,19,5,0,0,8,5,0,0,0,4,0,0,7,0,0
DBF,9,6,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,2,0,117,53,5,0,0,15,42,0,0,0,0,4,0,39,6,0
DBF,10,7,0,0,0,0,0,0,0,0,61,0,1,0,0,2,0,29,0,0,0,0,1,1,3,5,5,0,0,0,0,0,0,0,0,0,0,2,2,71,192,31,0,0,74,55,0,0,2,10,12,0,236,20,2
DBF,11,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0,1,7,14,0,6,0,0,0,0,0,0,0,0,0,2,48,145,13,0,0,58,38,0,0,1,18,10,0,109,87,2
DBF,12,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,2,0,0,2,1,62,162,7,0,0,34,86,0,0,0,3,1,0,63,18,1
EBF,13,9,0,0,3,6,0,0,0,0,25,0,0,0,0,0,0,57,12,3,0,21,0,0,0,1,9,0,0,0,4,0,0,0,2,0,0,0,0,189,139,0,0,0,16,4,0,0,0,6,0,0,18,0,0
EBF,14,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,5,0,0,0,0,0,0,12,0,0
EBF,15,13,0,0,0,0,0,1,0,0,28,0,0,0,4,3,1,61,24,2,0,1,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,116,104,0,0,0,23,7,0,0,0,0,0,0,21,0,0
EBF,16,41,0,4,3,37,4,0,0,0,46,1,0,1,1,1,0,7,0,10,2,6,4,0,2,0,0,0,0,4,4,0,1,0,3,0,0,1,8,14,40,5,0,0,18,13,11,2,5,11,1,4,17,0,0
