Forest,Site,(1) Trachytes,(2) Uropoda,(3) Discourella,(4) Nenteria,(5) Dinychus,(6) Uroobovella,(7) Oplitis,(8) Epicrius,(9) Metazercon,(10) Parazercon,(11) Prozercon,(12) Xenozercon,(13) Syskenozercon,(14) Zercon,(15) Neogamasus,(16) Vulgarogamasus,(17) Cornigamasus,(18) Parasitus,(19) Veigaia,(20) Gamasellus,(21) Dendrolaelaps,(22) Rhodacarus,(23) Rhodacarellus,(24) Gamasiphis,(25) Glyptholaspis,(26) Macrocheles,(27) Gamasholaspis,(28) Krantzholaspis,(29) Parholaspulus,(30) Pachylaelaps,(31) Pachyseius,(32) Amblyseius,(33) Asca,(34) Ameroseius,(35) Polyaspinus,(36) Podocinum,(37) Cheiroseius,(38) Lasioseius,(39) Proctolaelaps,(40) Cosmolaelaps,(41) Geolaelaps,(42) Laelaspis,(43) Ololaelaps,(44) Alloparasitus,(2) Eohypochthonius,(3) Hypochthonius,(30) Trhypochthoniellus,(33) Trimalaconothrus,(60) Oppia,(61) Oppiella,(62) Ramusella,(63) Arcoppia,(64) Microppia,(66) Lasiobelba,(67) Lauroppia,(68) Medioppia,(86) Ceratozetes
RBS,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,2,0,0,0,1,0,0,8,4,5,0,0,0,0,0,6,8,0,0,24,0,6,0,1,22,0,0,6,1,0,0,0,0,0,1,0
RBS,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,0,2,0,0,9,4,8,0,0,0,0,0,0,2,0,0,23,0,15,0,1,9,0,0,0,5,4,0,0,0,0,2,0
RBS,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,0,0,0,0,0,0,3,0,0,15,0,16,0,0,6,0,0,6,10,0,0,0,0,0,0,0
RBS,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,0,0,5,0,0,0,1,0,0,14,3,2,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,6,12,0,0,0,42,0,0,14
RBS,5,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,8,0,0,0,0,0,0,5,11,5,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,7
RBS,6,0,0,0,3,0,2,5,0,0,0,0,0,0,1,21,3,0,13,0,0,2,8,0,0,0,1,0,0,15,7,0,0,0,4,0,0,0,39,0,0,2,0,0,0,0,4,0,0,8,5,0,0,0,18,1,0,9
DBF,7,0,1,2,12,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,0,1,0,0,0,4,0,0,2,2,3,0,0,0,0,2,18,34,0,3,6,0,0,0,0,6,0,0,2,2,2,0,0,0,0,0,0
DBF,8,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,7,0,0,5,0,3,0,1,3,0,0,1,2,0,0,0,0,0,0,0
DBF,9,0,3,3,13,0,0,0,0,0,0,0,0,0,0,1,1,0,8,16,0,0,3,0,0,0,4,0,0,7,7,7,0,0,0,0,3,9,15,2,5,22,0,9,0,6,4,0,0,8,3,3,0,0,5,0,1,0
DBF,10,2,1,0,45,0,2,5,0,3,2,0,0,1,1,37,0,0,26,2,0,11,38,0,0,0,13,7,0,34,16,13,2,0,0,0,6,1,27,0,8,7,1,0,0,0,24,0,3,0,20,0,0,0,4,0,2,0
DBF,11,0,0,0,7,9,13,4,0,0,0,0,0,0,0,10,5,0,16,2,0,5,34,0,2,0,5,0,0,21,7,1,0,0,6,0,2,2,16,2,6,7,0,0,2,0,18,0,0,0,9,3,0,0,0,1,0,0
DBF,12,1,0,0,12,0,0,0,0,0,0,0,0,0,4,18,1,0,8,0,0,1,25,0,0,0,2,1,0,20,5,4,0,0,1,0,3,5,11,0,11,9,0,0,0,0,9,0,0,2,7,0,0,0,4,0,0,0
EBF,13,4,8,0,12,1,0,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,15,0,0,0,6,0,0,12,0,8,0,0,0,5,2,30,53,0,0,14,0,11,16,0,2,0,0,3,6,0,0,0,8,1,0,0
EBF,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,23,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,0,0
EBF,15,0,0,0,7,1,2,3,0,0,0,0,0,0,0,3,2,0,20,1,0,0,13,0,0,0,3,0,0,12,0,6,0,0,0,0,1,0,16,0,0,10,0,14,11,1,1,0,0,3,2,5,0,0,2,0,0,3
EBF,16,6,0,0,3,0,0,0,0,0,0,0,0,0,0,17,0,0,18,2,0,12,1,0,0,13,6,2,9,32,20,0,0,14,5,0,1,4,1,0,7,14,0,0,0,6,0,0,0,0,16,5,8,1,0,0,0,17
EBF,17,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,12,0,1,22,11,1,0,0,3,0,5,3,3,0,10,5,0,0,0,2,0,0,0,1,8,10,2,3,0,0,0,25
EBF,18,0,0,0,11,0,1,1,2,0,0,0,0,0,0,3,0,0,16,0,0,0,4,0,1,0,2,0,4,13,12,3,0,1,3,1,2,3,2,0,1,7,1,0,4,7,0,0,0,2,8,2,1,1,0,0,0,2
CBF,19,0,2,0,18,1,3,0,5,0,3,1,0,0,0,20,17,0,23,1,0,6,10,0,0,1,1,2,0,11,21,8,0,0,0,0,0,4,32,0,12,31,0,6,0,1,5,0,0,6,12,8,2,0,20,0,0,0
CBF,20,0,0,1,22,3,5,0,0,0,0,0,1,0,0,7,13,0,23,0,0,0,10,0,0,0,22,11,0,6,14,15,0,0,1,0,1,9,13,3,8,14,0,6,0,1,5,0,0,0,5,8,0,0,3,1,2,0
CBF,21,0,0,0,91,0,1,0,0,0,0,0,0,0,0,6,20,0,35,3,0,8,6,0,0,0,11,8,0,28,5,8,0,3,8,0,0,2,19,0,14,62,0,28,0,0,3,0,1,7,14,13,4,0,0,23,15,0
CBF,22,0,0,2,34,1,2,0,0,0,0,0,0,0,0,3,4,0,45,1,0,0,3,1,0,0,13,0,0,24,15,1,0,0,0,0,0,1,19,0,11,5,0,0,0,0,0,0,0,1,16,1,0,0,12,0,1,0
CBF,23,0,1,0,17,4,7,0,0,0,0,1,0,0,0,2,0,0,24,0,2,2,2,0,0,1,7,0,5,22,7,0,0,0,2,0,0,11,12,0,7,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5
CBF,24,1,1,0,15,0,0,0,0,0,4,1,0,0,0,13,4,1,47,1,1,2,0,0,0,1,6,0,1,25,7,3,0,1,1,0,0,2,13,0,0,15,0,1,0,0,0,0,0,0,3,0,0,0,4,0,0,14
