"","id","degree","weight_degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","membership"
"X.4..Hypochthoniella","X.4..Hypochthoniella",1,0.699965822815691,0,1.42864118133281,1.62850711158661e-16,5
"X.12..Epilohmannia","X.12..Epilohmannia",3,0.720836757044052,17,0.0494765211260622,0.231597085820118,3
"X.22..Platynothrus","X.22..Platynothrus",0,0,0,NA,4.76129603501972e-19,6
"X.23..Heminothrus","X.23..Heminothrus",0,0,0,NA,4.76129603501972e-19,7
"X.25..Crotonia","X.25..Crotonia",2,1.29689272065579,21,0.0597901108222295,0.279725744077279,3
"X.26..Holonothrus","X.26..Holonothrus",2,1.0996061002433,24,0.0669955900803893,0.357216044467672,2
"X.29..Afronothrus","X.29..Afronothrus",0,0,0,NA,4.76129603501972e-19,8
"X.36..Hermannia","X.36..Hermannia",2,1.10349380175462,9,0.0533150396459512,0.479619558979449,1
"X.37..Hermanniella","X.37..Hermanniella",0,0,0,NA,4.76129603501972e-19,9
"X.38..Plasmobates","X.38..Plasmobates",4,2.53494184701353,29,0.0662872354783961,1,1
"X.46..Liacarus","X.46..Liacarus",0,0,0,NA,4.76129603501972e-19,10
"X.47..Ceratoppia","X.47..Ceratoppia",1,0.584195820997486,0,1.71175479874633,1.13995497811063e-16,4
"X.48..Austroceratoppia","X.48..Austroceratoppia",1,0.699965822815691,0,1.42864118133281,1.62850711158661e-16,5
"X.49..Pyroppia","X.49..Pyroppia",1,0.691564074808125,0,0.0469264635986073,0.514930430016209,1
"X.52..Gustavia","X.52..Gustavia",1,0.584195820997486,0,1.71175479874633,9.77104266951968e-17,4
"X.53..Carabodes","X.53..Carabodes",2,1.159505108209,25,0.069317576035096,0.624049123403205,2
"X.54..Nippobodes","X.54..Nippobodes",1,0.591582687663609,0,0.0391606292335928,0.10201515160727,3
"X.57..Allosuctobelba","X.57..Allosuctobelba",0,0,0,NA,4.76129603501972e-19,11
"X.69..Tectocepheus","X.69..Tectocepheus",1,-0.568032551032041,0,0.0394883885257802,0.0979540612323482,3
"X.70..Scutovertex","X.70..Scutovertex",1,0.579126245967207,0,0.0417213045482283,0.206817015074485,1
"X.76..Mochlozetes","X.76..Mochlozetes",1,0.659505108208996,0,0.0475705558602783,0.491059702692288,1
