"","from","to","weight","weight_abs","cor_sign"
"1","X.2..Uropoda","X.4..Nenteria",0.502392867344481,0.502392867344481,1
"2","X.2..Uropoda","X.10..Parazercon",0.532872816485212,0.532872816485212,1
"3","X.2..Uropoda","X.11..Prozercon",0.534280673143474,0.534280673143474,1
"4","X.2..Uropoda","X.37..Cheiroseius",0.544948888735257,0.544948888735257,1
"5","X.4..Nenteria","X.18..Parasitus",0.823259580692063,0.823259580692063,1
"6","X.4..Nenteria","X.26..Macrocheles",0.637530354828373,0.637530354828373,1
"7","X.4..Nenteria","X.27..Gamasholaspis",0.53578234628995,0.53578234628995,1
"8","X.4..Nenteria","X.40..Cosmolaelaps",0.701703051721146,0.701703051721146,1
"9","X.4..Nenteria","X.33..Trimalaconothrus",0.52223794718134,0.52223794718134,1
"10","X.5..Dinychus","X.6..Uroobovella",0.551419040357578,0.551419040357578,1
"11","X.7..Oplitis","X.44..Alloparasitus",0.627619654273001,0.627619654273001,1
"12","X.9..Metazercon","X.13..Syskenozercon",1,1,1
"13","X.9..Metazercon","X.32..Amblyseius",1,1,1
"14","X.9..Metazercon","X.42..Laelaspis",0.691564074808125,0.691564074808125,1
"15","X.9..Metazercon","X.33..Trimalaconothrus",0.603022689155527,0.603022689155527,1
"16","X.10..Parazercon","X.11..Prozercon",0.649078776532836,0.649078776532836,1
"17","X.10..Parazercon","X.17..Cornigamasus",0.602625833114414,0.602625833114414,1
"18","X.10..Parazercon","X.21..Dendrolaelaps",0.503206429939712,0.503206429939712,1
"19","X.10..Parazercon","X.25..Glyptholaspis",0.503016129074158,0.503016129074158,1
"20","X.11..Prozercon","X.17..Cornigamasus",0.551677284367371,0.551677284367371,1
"21","X.11..Prozercon","X.20..Gamasellus",0.796969686079276,0.796969686079276,1
"22","X.11..Prozercon","X.25..Glyptholaspis",0.800399190555156,0.800399190555156,1
"23","X.11..Prozercon","X.30..Trhypochthoniellus",0.551677284367371,0.551677284367371,1
"24","X.13..Syskenozercon","X.32..Amblyseius",1,1,1
"25","X.13..Syskenozercon","X.42..Laelaspis",0.691564074808125,0.691564074808125,1
