"","id","degree","weight_degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","membership"
"X.1..Trachytes","X.1..Trachytes",0,0,0,NA,0,8
"X.2..Uropoda","X.2..Uropoda",4,2.11449524570842,41,0.0219477355861415,0.168499886821999,1
"X.3..Discourella","X.3..Discourella",0,0,0,NA,0,9
"X.4..Nenteria","X.4..Nenteria",6,3.72290614805735,75,0.0244954120979814,0.691510334050601,6
"X.5..Dinychus","X.5..Dinychus",1,0.551419040357578,0,1.81350284776444,0,3
"X.6..Uroobovella","X.6..Uroobovella",1,0.551419040357578,0,1.81350284776444,0,3
"X.7..Oplitis","X.7..Oplitis",1,0.627619654273001,0,0.313389869657017,0,5
"X.8..Epicrius","X.8..Epicrius",0,0,0,NA,0,10
"X.9..Metazercon","X.9..Metazercon",4,3.29458676396365,9.33333333333333,0.0175064889152539,0.176116751525731,7
"X.10..Parazercon","X.10..Parazercon",5,2.79079998514633,36,0.0236903007101744,0.234046694512684,1
"X.11..Prozercon","X.11..Prozercon",6,3.88408289504548,16,0.0205124787667948,0.20551893449185,1
"X.12..Xenozercon","X.12..Xenozercon",0,0,0,NA,0,11
"X.13..Syskenozercon","X.13..Syskenozercon",4,3.29458676396365,9.33333333333333,0.0175064889152539,0.176116751525731,7
"X.14..Zercon","X.14..Zercon",0,0,0,NA,0,12
"X.15..Neogamasus","X.15..Neogamasus",6,3.61668928418957,1,0.0222590912321955,0.827023906080997,6
"X.16..Vulgarogamasus","X.16..Vulgarogamasus",1,0.522040137490715,0,0.226079332378971,0,2
"X.17..Cornigamasus","X.17..Cornigamasus",3,1.81380822569078,0,0.0183423106894399,0.104317400470865,1
"X.18..Parasitus","X.18..Parasitus",7,4.34998239193955,22,0.0235952290297966,0.945330116156195,6
"X.19..Veigaia","X.19..Veigaia",0,0,0,NA,0,13
"X.20..Gamasellus","X.20..Gamasellus",5,3.38691622990874,18,0.0208295734690976,0.173774877304032,1
"X.21..Dendrolaelaps","X.21..Dendrolaelaps",8,4.76763198739216,130,0.02831553619656,0.796192949799905,6
"X.22..Rhodacarus","X.22..Rhodacarus",0,0,0,NA,0,14
"X.23..Rhodacarellus","X.23..Rhodacarellus",0,0,0,NA,0,15
"X.24..Gamasiphis","X.24..Gamasiphis",1,0.601677217170174,0,0.318569877658993,0,5
"X.25..Glyptholaspis","X.25..Glyptholaspis",5,3.16865663236195,18,0.0235063855904604,0.2808088357516,1
"X.26..Macrocheles","X.26..Macrocheles",4,2.34728807109936,3,0.0219466953106695,0.58574323762597,6
"X.27..Gamasholaspis","X.27..Gamasholaspis",5,2.90778649728029,17,0.023370398914536,0.62630856192216,6
"X.28..Krantzholaspis","X.28..Krantzholaspis",7,3.19499918995675,75,0.0222922790441435,0.208414506047144,4
"X.29..Parholaspulus","X.29..Parholaspulus",8,4.68444546422014,20,0.0244268232275199,0.917204215845825,6
"X.30..Pachylaelaps","X.30..Pachylaelaps",4,2.23194521867018,0,0.019811308967641,0.583328284267075,6
"X.31..Pachyseius","X.31..Pachyseius",2,1.14910523859972,3,0.292377884431018,0,2
"X.32..Amblyseius","X.32..Amblyseius",4,3.29458676396365,9.33333333333333,0.0175064889152539,0.176116751525731,7
"X.33..Asca","X.33..Asca",3,1.82220646932637,0,0.019832111074052,0.151024059875107,4
"X.34..Ameroseius","X.34..Ameroseius",5,2.78661447781381,82,0.0253574379973989,0.377792227369919,4
"X.35..Polyaspinus","X.35..Polyaspinus",1,0.706377428974729,0,0.298647500873987,2.92611752992161e-18,5
"X.36..Podocinum","X.36..Podocinum",0,0,0,NA,0,16
"X.37..Cheiroseius","X.37..Cheiroseius",1,0.544948888735257,0,0.0161521523480714,0.0259568906209817,1
"X.38..Lasioseius","X.38..Lasioseius",0,0,0,NA,0,17
"X.39..Proctolaelaps","X.39..Proctolaelaps",0,0,0,NA,0,18
"X.40..Cosmolaelaps","X.40..Cosmolaelaps",10,5.78930839086264,69,0.0247063298747426,1,6
"X.41..Geolaelaps","X.41..Geolaelaps",3,1.70800043278672,5,0.350004555314448,0,2
"X.42..Laelaspis","X.42..Laelaspis",3,2.07469222442437,0,0.01318068362791,0.103288418515124,7
"X.43..Ololaelaps","X.43..Ololaelaps",1,0.62283463849547,0,0.211612910803693,1.12080751815747e-17,2
"X.44..Alloparasitus","X.44..Alloparasitus",3,1.93567430041791,3,0.516615837583887,0,5
"X.2..Eohypochthonius","X.2..Eohypochthonius",2,1.1610009608247,2,0.01630555558086,0.0552038333499161,4
"X.3..Hypochthonius","X.3..Hypochthonius",2,-1.23632461020173,0,0.0163640924755315,0.0460740189435216,4
"X.30..Trhypochthoniellus","X.30..Trhypochthoniellus",3,1.7983599586694,16,0.0209814750084822,0.116536855870088,1
"X.33..Trimalaconothrus","X.33..Trimalaconothrus",6,3.39405829182997,126,0.0246007712050066,0.330597741964017,7
