genus,id,degree,weight_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,membership,trophic
X.1..Trachytes,X.1..Trachytes,0,0,0,NA,4.15E-19,9,pred 
X.2..Uropoda,X.2..Uropoda,4,2.114495246,136,0.00459757,0.034560876,3,pred 
X.3..Discourella,X.3..Discourella,0,0,0,NA,4.15E-19,10,pred 
X.4..Nenteria,X.4..Nenteria,15,9.133965597,464,0.005807241,0.279514902,3,pred 
X.5..Dinychus,X.5..Dinychus,1,0.55141904,0,1.813502848,7.97E-18,6,pred 
X.6..Uroobovella,X.6..Uroobovella,1,0.55141904,0,1.813502848,1.98E-17,6,pred 
X.7..Oplitis,X.7..Oplitis,3,1.788567295,31,0.003934721,0.004837221,4,pred 
X.8..Epicrius,X.8..Epicrius,3,1.755475253,25,0.00413237,0.019982133,3,pred 
X.9..Metazercon,X.9..Metazercon,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.10..Parazercon,X.10..Parazercon,8,4.412417406,158,0.004976522,0.103066622,3,pred 
X.11..Prozercon,X.11..Prozercon,10,6.132477887,89,0.00487227,0.183081192,3,pred 
X.12..Xenozercon,X.12..Xenozercon,1,0.5,0,0.003165205,0.011808242,2,pred 
X.13..Syskenozercon,X.13..Syskenozercon,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.14..Zercon,X.14..Zercon,4,2.271863619,76,0.004215617,0.006531046,4,pred 
X.15..Neogamasus,X.15..Neogamasus,11,6.782678106,9,0.005284615,0.23418377,3,pred 
X.16..Vulgarogamasus,X.16..Vulgarogamasus,8,4.9667192,21,0.004974639,0.072868683,5,pred 
X.17..Cornigamasus,X.17..Cornigamasus,4,2.416830915,3,0.00429231,0.091559964,3,pred 
X.18..Parasitus,X.18..Parasitus,18,11.61649353,77,0.005643643,0.442847358,3,pred 
X.19..Veigaia,X.19..Veigaia,1,0.579979249,0,1.724199618,1.33E-17,7,pred 
X.20..Gamasellus,X.20..Gamasellus,9,5.951742327,11,0.004872605,0.319431296,3,pred 
X.21..Dendrolaelaps,X.21..Dendrolaelaps,14,8.338137071,174,0.005816997,0.337971049,3,pred 
X.22..Rhodacarus,X.22..Rhodacarus,4,2.415204733,39,0.004579022,0.01253973,4,pred 
X.23..Rhodacarellus,X.23..Rhodacarellus,2,1.550223587,0,0.002761459,5.14E-05,8,pred 
X.24..Gamasiphis,X.24..Gamasiphis,3,1.761182325,98,0.003788271,0.019032804,1,pred 
X.25..Glyptholaspis,X.25..Glyptholaspis,16,9.476519832,245,0.005668494,0.552898951,3,pred 
X.26..Macrocheles,X.26..Macrocheles,6,3.417810638,5,0.004966095,0.139418,3,pred 
X.27..Gamasholaspis,X.27..Gamasholaspis,13,7.438498922,265,0.005860494,0.210853524,2,pred 
X.28..Krantzholaspis,X.28..Krantzholaspis,18,9.540861151,19,0.005625653,0.885655597,3,pred 
X.29..Parholaspulus,X.29..Parholaspulus,16,9.688193474,60,0.005670822,0.395623405,3,pred 
X.30..Pachylaelaps,X.30..Pachylaelaps,8,4.554850774,118,0.005232064,0.154869302,3,pred 
X.31..Pachyseius,X.31..Pachyseius,4,2.15525913,289,0.005025909,0.023123836,5,pred 
X.32..Amblyseius,X.32..Amblyseius,8,6.530896184,14.2,0.004429171,0.030544799,4,pred 
X.33..Asca,X.33..Asca,21,12.5295071,245,0.005826454,0.908775964,2,pred 
X.34..Ameroseius,X.34..Ameroseius,11,6.034869514,113,0.005567636,0.442495843,2,pred 
X.35..Polyaspinus,X.35..Polyaspinus,4,2.498974589,50,0.004389852,0.069611245,2,pred 
X.36..Podocinum,X.36..Podocinum,5,1.650221949,117,0.004245288,0.00493037,4,pred 
X.37..Cheiroseius,X.37..Cheiroseius,1,0.544948889,0,0.003528021,0.002211223,3,pred 
X.38..Lasioseius,X.38..Lasioseius,4,2.27106609,64,0.004929428,0.066927152,5,pred 
X.39..Proctolaelaps,X.39..Proctolaelaps,0,0,0,NA,4.15E-19,11,pred 
X.40..Cosmolaelaps,X.40..Cosmolaelaps,16,9.163010548,196,0.005801945,0.270707425,3,pred 
X.41..Geolaelaps,X.41..Geolaelaps,7,1.611875297,163,0.004796029,0.026903322,1,pred 
X.42..Laelaspis,X.42..Laelaspis,6,4.149384449,43,0.00390723,0.031639355,4,pred 
X.43..Ololaelaps,X.43..Ololaelaps,5,-2.059092285,16,0.004056811,0.013307392,1,pred 
X.44..Alloparasitus,X.44..Alloparasitus,4,2.600110694,42,0.003721045,0.008512989,4,pred 
X.1..Archoplophora,X.1..Archoplophora,15,8.120030262,129,0.005770451,0.529197011,3,fungi
X.2..Eohypochthonius,X.2..Eohypochthonius,6,2.270955255,41,0.004910336,0.238620702,2,pred 
X.3..Hypochthonius,X.3..Hypochthonius,8,-3.408986293,287,0.00529919,0.209206117,1,pred 
X.4..Hypochthoniella,X.4..Hypochthoniella,4,2.304599577,359,0.003382369,0.000702133,8,decomp
X.5..Cosmochthonius,X.5..Cosmochthonius,5,3.256203989,35,0.004687081,0.033038611,3,fungi
X.6..Meristacarus,X.6..Meristacarus,13,9.049162344,110,0.00555697,0.647222833,2,fungi
X.7..Mixacarus,X.7..Mixacarus,7,4.403102876,79,0.004658338,0.285286483,2,fungi
X.8..Papillacarus,X.8..Papillacarus,13,7.732228898,179,0.005460053,0.487363936,2,fungi
X.9..Lohmannia,X.9..Lohmannia,13,9.049162344,110,0.00555697,0.647222833,2,fungi
X.10..Eulohmannia,X.10..Eulohmannia,3,1.599460957,10,0.00458001,0.043795205,2,fungi
X.11..Perlohmannia,X.11..Perlohmannia,9,5.672809964,86,0.005332063,0.175997323,2,fungi
