Forest,Site,(1) Trachytes,(2) Uropoda,(3) Discourella,(4) Nenteria,(5) Dinychus,(6) Uroobovella,(7) Oplitis,(8) Epicrius,(9) Metazercon,(10) Parazercon,(11) Prozercon,(12) Xenozercon,(13) Syskenozercon,(14) Zercon,(15) Neogamasus,(16) Vulgarogamasus,(17) Cornigamasus,(18) Parasitus,(19) Veigaia,(20) Gamasellus,(21) Dendrolaelaps,(22) Rhodacarus,(23) Rhodacarellus,(24) Gamasiphis,(25) Glyptholaspis,(26) Macrocheles,(27) Gamasholaspis,(28) Krantzholaspis,(29) Parholaspulus,(30) Pachylaelaps,(31) Pachyseius,(32) Amblyseius,(33) Asca,(34) Ameroseius,(35) Polyaspinus,(36) Podocinum,(37) Cheiroseius,(38) Lasioseius,(39) Proctolaelaps,(40) Cosmolaelaps,(41) Geolaelaps,(42) Laelaspis,(43) Ololaelaps,(44) Alloparasitus,(1) Archoplophora,(2) Eohypochthonius,(3) Hypochthonius,(4) Hypochthoniella,(5) Cosmochthonius,(6) Meristacarus,(7) Mixacarus,(8) Papillacarus,(9) Lohmannia,(10) Eulohmannia,(11) Perlohmannia,(12) Epilohmannia,(13) Microtritia,(14) Rhysotritia,(15) Acrotritia,(16) Synichotritia,(17) Phthiracarus,(18) Steganacarus,(19) Hoplophthiracarus,(20) Hoplophorella,(21) Camisia,(22) Platynothrus,(23) Heminothrus,(24) Nothrus,(25) Crotonia,(26) Holonothrus,(27) Archegozetes,(28) Allonothrus,(29) Afronothrus,(30) Trhypochthoniellus,(31) Trhypochthonius,(32) Malaconothrus,(33) Trimalaconothrus,(34) Nanhermannia,(35) Cyrthermannia,(36) Hermannia,(37) Hermanniella,(38) Plasmobates,(39) Damaeus,(40) Epidamaeus,(41) Eremulus,(42) Eremobelba,(43) Fosseremus,(44) Ctenobelba,(45) Eremaeus,(46) Liacarus,(47) Ceratoppia,(48) Austroceratoppia,(49) Pyroppia,(50) Cultroribula,(51) Astegistes,(52) Gustavia,(53) Carabodes,(54) Nippobodes,(55) Dolicheremaeus,(56) Otocepheus,(57) Allosuctobelba,(58) Suctobelbella,(59) Parisuctobelba,(60) Oppia,(61) Oppiella,(62) Ramusella,(63) Arcoppia,(64) Microppia,(65) Multioppia,(66) Lasiobelba,(67) Lauroppia,(68) Medioppia,(69) Tectocepheus,(70) Scutovertex,(71) Neoribates,(72) Protokalumma,(73) Phauloppia,(74) Scheloribates,(75) Perscheloribates,(76) Mochlozetes,(77) Rostrozetes,(78) Incabates,(79) Paraxylobates,(80) Peloribates,(81) Xylobates,(82) Protoribates,(83) Perxylobates,(84) Setoxylobates,(85) Vilhenabates,(86) Ceratozetes,(87) Galumna,(88) Pergalumna,(89) Trichogalumna,(90) Porogalumnella,(91) Galumnella
RBS,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,2,0,0,0,1,0,0,8,4,5,0,0,0,0,0,6,8,0,0,24,0,6,0,0,1,22,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,7,0,0,0,10,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,1,8,0,0,0,0,126,113,0,13,0,0,0,11,0,0,0,0,0,0,2,9,0,0
RBS,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,6,0,0,0,0,0,0,2,0,0,9,4,8,0,0,0,0,0,0,2,0,0,23,0,15,0,1,1,9,1,0,0,2,6,0,0,0,31,0,4,0,0,0,0,0,0,6,6,15,83,0,0,21,9,0,0,6,0,0,8,0,0,0,0,0,0,0,8,0,1,0,0,5,12,0,1,0,2,0,4,0,0,2,1,0,0,5,4,0,0,0,0,0,2,8,0,0,0,0,113,97,0,10,0,0,8,23,0,0,0,0,0,3,0,14,0,0
RBS,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,1,0,0,0,0,0,0,3,0,0,15,0,16,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,8,5,0,4,0,4,0,0,0,0,1,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,193,137,0,1,0,0,2,8,0,0,0,0,0,7,0,25,0,0
RBS,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,5,0,0,0,5,0,0,0,1,0,0,14,3,2,0,0,0,0,0,0,14,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,1,0,34,0,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,26,5,0,0,0,6,1,0,0,171,0,7,0,0,0,0,0,0,0,6,12,0,0,0,0,42,0,0,128,0,19,0,0,288,252,6,0,0,0,25,48,0,0,42,108,14,0,0,1,0,0
RBS,5,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,8,0,0,0,0,0,0,5,11,5,0,0,0,0,0,0,23,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,43,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,116,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,98,0,13,0,0,212,126,0,0,0,0,22,73,0,0,21,55,7,0,0,12,2,0
RBS,6,0,0,0,3,0,2,5,0,0,0,0,0,0,1,21,3,0,13,0,0,2,8,0,0,0,1,0,0,15,7,0,0,0,4,0,0,0,39,0,0,2,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,10,0,24,92,0,0,9,24,3,0,0,0,0,0,0,0,0,0,0,6,4,12,0,0,0,0,26,0,1,202,0,8,0,0,0,0,0,0,0,8,5,0,0,0,0,18,1,0,112,1,9,0,0,312,183,0,0,0,0,15,109,0,0,33,133,9,0,0,18,0,0
DBF,7,0,1,2,12,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,0,1,0,0,0,4,0,0,2,2,3,0,0,0,0,2,18,34,0,3,6,0,0,0,14,0,6,0,0,0,0,0,0,0,0,31,0,37,0,0,0,0,0,0,3,0,0,13,0,0,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,3,0,0,0,0,137,56,0,0,0,0,16,39,0,0,0,3,0,6,0,9,0,0
DBF,8,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,2,7,0,0,5,0,3,0,2,1,3,0,0,0,0,0,0,0,0,14,0,7,0,0,0,0,0,0,2,0,0,8,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,49,19,0,5,0,0,8,5,0,0,0,4,0,0,0,7,0,0
DBF,9,0,3,3,13,0,0,0,0,0,0,0,0,0,0,1,1,0,8,16,0,0,3,0,0,0,4,0,0,7,7,7,0,0,0,0,3,9,15,2,5,22,0,9,0,6,6,4,0,0,0,0,0,0,0,0,2,0,23,0,0,0,0,0,0,0,0,0,23,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,8,3,3,0,0,0,5,0,1,8,0,2,0,0,117,53,0,5,0,0,15,42,0,0,0,0,0,4,0,39,6,0
DBF,10,2,1,0,45,0,2,5,0,3,2,0,0,1,1,37,0,0,26,2,0,11,38,0,0,0,13,7,0,34,16,13,2,0,0,0,6,1,27,0,8,7,1,0,0,7,0,24,0,0,0,0,0,0,0,0,77,0,61,0,1,0,0,2,0,7,0,0,29,7,2,0,0,0,0,0,0,3,0,1,0,0,0,1,3,5,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,20,0,0,0,0,4,0,2,0,2,2,2,0,71,192,0,31,0,0,74,55,0,0,2,10,0,12,0,236,20,2
